"id","user_name","content","time","channel"
"205","yuto_otuska","<@masaiwai> Vive proだと使えないですが、昔のViveでしたら使えます
ほぼスタンドアローンみたいになるので、あると便利になってB3の研究や開発の幅が広がるかもしれないです","1543898548","book_and_items"
"206","An2y","","1543895083","book_and_items"
"207","An2y","<@masaiwai> rtxの中で一番安いってことです，性能自体劣るわけでわないようです","1543895083","book_and_items"
"208","Kyota_Uchida","","1543894142","book_and_items"
"209","Kyota_Uchida","<@NOGU> サーモグラフィカメラはあった気がする。一個だけだけど。
ブレボはないから助かる。
一度整理してあるものとないもの分けなきゃね","1543894142","book_and_items"
"210","masaiwai","","1543893534","book_and_items"
"211","masaiwai","<https://www.amazon.co.jp/dp/B078NTGKQF/ref=cm_sw_r_cp_ep_dp_gLEbCb98RWQBQ>
大塚これはかうとつかえますか？つかえない？","1543893534","book_and_items"
"212","masaiwai","","1543893226","book_and_items"
"213","masaiwai","<@An2y> GeForce RTX2080Ti 11GB GamingPro のdosparaが一番やすいってことかな？これが一番いいってこと？","1543893226","book_and_items"
"214","otobe","","1543893095","book_and_items"
"215","otobe","置きっぱにすることを考えると電源つながってた方
がいいかなとおもいました","1543893095","book_and_items"
"216","masaiwai","","1543893053","book_and_items"
"217","masaiwai","いいですよ。安いし。wifiならこんなのもあります。
Sumeber QRバーコードリーダー 無線CCD 手持ミニ QR バーコードスキャナ かわいい外観レ2.4Gワイヤレス USB接続 バーコードスキャナー電話の画面をスキャン 日本語取扱説明書【 3ヶ月無償交換、12ヶ月保証】
Sumeber
固定リンク: <http://amzn.asia/d/4fB6gi3>","1543893053","book_and_items"
"218","チャンネルの参加","kawatoさんがチャンネルに参加しました","1543888772","book_and_items"
"219","otobe","","1543886594","book_and_items"
"220","otobe","<@masaiwai> <http://amzn.asia/d/bVFH4DG> これです","1543886594","book_and_items"
"221","masaiwai","","1543875059","book_and_items"
"222","masaiwai","マイクロｓｄカードいるひといいねつけてください。その数かいます。","1543875059","book_and_items"
"223","masaiwai","","1543874883","book_and_items"
"224","masaiwai","<@otobe> URLをおしえてください。岩井研にもｑｒコードリーダはひとつあります。無線がつかえるものもあります。","1543874883","book_and_items"
"225","NOGU","","1543831177","book_and_items"
"226","NOGU","<http://amzn.asia/d/9rAWJmt>","1543831177","book_and_items"
"227","yuto_otuska","","1543830250","book_and_items"
"228","yuto_otuska","普通のvive向けだったらあるんですけど","1543830250","book_and_items"
"229","yuto_otuska","","1543830226","book_and_items"
"230","yuto_otuska","Pro向けの無線化キットっていうものはないんですよね?","1543830226","book_and_items"
"231","yuto_otuska","","1543830202","book_and_items"
"232","yuto_otuska","ありがとうございます！！","1543830202","book_and_items"
"233","otobe","","1543829843","book_and_items"
"234","otobe","バーコードリーダーが欲しいです。レジに置いてある奴","1543829843","book_and_items"
"235","masaiwai","","1543829053","book_and_items"
"236","masaiwai","希望があれば教えてください","1543829053","book_and_items"
"237","masaiwai","","1543829041","book_and_items"
"238","masaiwai","5階ように椅子机買えます。内田洋行さんから","1543829041","book_and_items"
"239","masaiwai","","1543828495","book_and_items"
"240","masaiwai","大塚 VIVE無線化キット売っていますか？","1543828495","book_and_items"
"241","masaiwai","","1543828460","book_and_items"
"242","masaiwai","これ買うことにしました。","1543828460","book_and_items"
"243","masaiwai","","1543828449","book_and_items"
"244","masaiwai","<https://shop.tsukumo.co.jp/goods/4537694266222/?cid=Google_S111101&amp;gclid=Cj0KCQiAxZPgBRCmARIsAOrTHSaK8Rypn7wlGqJhchzYTvRznrCKF6xVQk_x1AB-4dvoUyIpCYpqMboaAuwVEALw_wcB>","1543828449","book_and_items"
"245","yuto_otuska","","1543827785","book_and_items"
"246","yuto_otuska","VRデモに使う為のサンダル
<http://amzn.asia/d/axb6vCd>
Viveラケット
<https://shop.tsukumo.co.jp/goods/4718487707164/101720000000000>
もお願いします","1543827785","book_and_items"
"247","masaiwai","","1543826844","book_and_items"
"248","masaiwai","他にもあれば","1543826844","book_and_items"
"249","masaiwai","","1543826836","book_and_items"
"250","masaiwai","昨日からの一気に明日発注 処理します","1543826836","book_and_items"
"251","NOGU","","1543822104","book_and_items"
"252","NOGU","<https://www.switch-science.com/catalog/3395/>","1543822104","book_and_items"
"253","An2y","","1543755340","book_and_items"
"254","An2y","ドスパラですpalitなのでかなり安いです","1543755340","book_and_items"
"255","An2y","","1543755297","book_and_items"
"256","An2y","<https://www.dospara.co.jp/5shopping/detail_parts.php?bg=1&amp;br=31&amp;sbr=213&amp;ic=455951&amp;utm_source=kakaku.com&amp;utm_medium=referral&amp;utm_campaign=kakaku_parts_camp&amp;_bdadid=JPGTE5.00002isv&amp;lf=0>","1543755297","book_and_items"
"257","An2y","","1543754977","book_and_items"
"258","An2y","<http://amzn.asia/d/fQjC05V>","1543754977","book_and_items"
"259","NOGU","","1543753177","book_and_items"
"260","NOGU","ラズパイ 用","1543753177","book_and_items"
"261","NOGU","","1543753168","book_and_items"
